rowid,st_dist,pl_name,pl_masseerr1,st_actlx,sold
1,110.62,11 Com b,,,FALSE
2,119.47,11 UMi b,,,FALSE
3,76.39,14 And b,,,FALSE
4,18.15,14 Her b,,,FALSE
5,21.41,16 Cyg B b,,,FALSE
6,73.1,18 Del b,,,FALSE
7,145,1RXS J160929.1-210524 b,300,,FALSE
8,74.79,24 Sex b,,,FALSE
9,74.79,24 Sex c,,,FALSE
10,36,2MASS J01225093-2439505 b,794.5,,FALSE
11,39.4,2MASS J02192210-3925225 b,349.613,,FALSE
12,140,2MASS J04414489+2301513 b,794.5,,FALSE
13,52.4,2MASS J12073346-3932539 b,318,,FALSE
14,,2MASS J19383260+4603591 b,31.783,,FALSE
15,25,2MASS J21402931+1625183 A b,26629.91,,FALSE
16,74,2MASS J22362452+4751425 b,476.745,,FALSE
17,39.43,30 Ari B b,,29.86,FALSE
18,77.4,4 UMa b,,,FALSE
19,97.28,42 Dra b,,,FALSE
20,14.08,47 UMa b,,,FALSE
21,14.08,47 UMa c,,,FALSE
22,14.08,47 UMa d,,,FALSE
23,29.4,51 Eri b,,30.12,FALSE
24,15.36,51 Peg b,,,FALSE
25,12.53,55 Cnc b,1.0488,27.74,FALSE
26,12.53,55 Cnc c,1.748,27.74,FALSE
27,12.53,55 Cnc d,21.612,27.74,FALSE
28,12.53,55 Cnc e,0.31,27.74,FALSE
29,12.53,55 Cnc f,3.814,27.74,FALSE
30,56.95,6 Lyn b,,,FALSE
31,8.52,61 Vir b,,26.87,FALSE
32,8.52,61 Vir c,,26.87,FALSE
33,8.52,61 Vir d,,26.87,FALSE
34,19.84,7 CMa b,,,FALSE
35,18.11,70 Vir b,,,FALSE
36,81.5,75 Cet b,,,FALSE
37,159.1,8 UMi b,,,FALSE
38,97.18,81 Cet b,,,FALSE
39,45.52,91 Aqr b,,,FALSE
40,45.52,AB Pic b,158.9,,FALSE
41,2618,BD+03 2562 b,,,FALSE
42,50.03,BD+14 4559 b,,,FALSE
43,774,BD+15 2375 b,,,FALSE
44,175.44,BD+15 2940 b,,,FALSE
45,25.4,BD+20 1790 b,,,FALSE
46,,BD+20 2457 b,,,FALSE
47,,BD+20 2457 c,,,FALSE
48,,BD+20 274 b,,,FALSE
49,152.1,BD+20 594 b,6,,FALSE
50,,BD+48 738 b,,,FALSE
51,,BD+49 828 b,,,FALSE
52,20.1,BD-06 1339 b,,,FALSE
53,20.1,BD-06 1339 c,,,FALSE
54,42.09,BD-08 2823 b,,,FALSE
55,42.09,BD-08 2823 c,,,FALSE
56,80,BD-10 3166 b,,,FALSE
57,27.3,BD-11 4672 b,,,FALSE
58,766,BD-13 2130 b,,,FALSE
59,37.54,BD-17 63 b,,,FALSE
60,23.1,CFBDSIR J145829+101343 b,1430.2,,FALSE
61,,CHXR 73 b,2662.991,,FALSE
62,165,CT Cha b,1907,,FALSE
63,,CoRoT-1 b,38.14,,FALSE
64,345,CoRoT-10 b,50.85,,FALSE
65,560,CoRoT-11 b,108.06,,FALSE
66,1150,CoRoT-12 b,22.247,,FALSE
67,1060,CoRoT-13 b,20.976,,FALSE
68,1340,CoRoT-14 b,190.7,,FALSE
69,840,CoRoT-16 b,27.014,,FALSE
70,920,CoRoT-17 b,95.34,,FALSE
71,870,CoRoT-18 b,120.77,,FALSE
72,770,CoRoT-19 b,19.07,,FALSE
73,200,CoRoT-2 b,69.92,,FALSE
74,1230,CoRoT-20 b,73.1,,FALSE
75,592,CoRoT-22 b,14,,FALSE
76,600,CoRoT-23 b,95.3,,FALSE
77,600,CoRoT-24 b,,,FALSE
78,600,CoRoT-24 c,11,,FALSE
79,1000,CoRoT-25 b,12.71,,FALSE
80,1670,CoRoT-26 b,15.89,,FALSE
81,,CoRoT-27 b,174.8,,FALSE
82,560,CoRoT-28 b,27.65121,,FALSE
83,765,CoRoT-29 b,63.566,,FALSE
84,680,CoRoT-3 b,317.8,,FALSE
85,,CoRoT-4 b,25.43,,FALSE
86,,CoRoT-5 b,14.937,,FALSE
87,,CoRoT-6 b,108.06,,FALSE
88,153.7,CoRoT-7 b,0.86,,FALSE
89,153.7,CoRoT-7 c,0.9,,FALSE
90,380,CoRoT-8 b,9.53,,FALSE
91,460,CoRoT-9 b,22.25,,FALSE
92,,CoRoTID 223977153 b,31.783,,FALSE
93,20.77,DENIS-P J082303.1-491201 b,603.85,,FALSE
94,140,DH Tau b,3178,,FALSE
95,,DP Leo b,,,FALSE
96,181.5,EPIC 211822797 b,,,FALSE
97,253,EPIC 220674823 b,,,FALSE
98,253,EPIC 220674823 c,,,FALSE
99,140,FU Tau b,,,FALSE
100,7.69,Fomalhaut b,,,FALSE
101,12.04,GJ 1132 b,0.54,,FALSE
102,11.03,GJ 1148 b,,,FALSE
103,11.03,GJ 1148 c,,,FALSE
104,,GJ 1214 b,0.85814,,FALSE
105,3.57,GJ 15 A b,,27.28,FALSE
106,14.97,GJ 163 b,,,FALSE
107,14.97,GJ 163 c,,,FALSE
108,14.97,GJ 163 d,,,FALSE
109,12.12,GJ 179 b,,,FALSE
110,3.8,GJ 273 b,,26.3,FALSE
111,3.8,GJ 273 c,,26.3,FALSE
112,17.62,GJ 3021 b,,29.02,FALSE
113,28.48,GJ 3138 b,,,FALSE
114,28.48,GJ 3138 c,,,FALSE
115,28.48,GJ 3138 d,,,FALSE
116,15.1,GJ 317 b,222.5,,FALSE
117,20.03,GJ 328 b,,,FALSE
118,15.77,GJ 3293 b,,,FALSE
119,15.77,GJ 3293 c,,,FALSE
120,15.77,GJ 3293 d,,,FALSE
121,15.77,GJ 3293 e,,,FALSE
122,5.32,GJ 3323 b,,,FALSE
123,5.32,GJ 3323 c,,,FALSE
124,,GJ 3341 b,,,FALSE
125,25.2,GJ 3470 b,1.61,,FALSE
126,19.8,GJ 3634 b,4,,FALSE
127,17.79,GJ 3998 b,,,FALSE
128,17.79,GJ 3998 c,,,FALSE
129,9.04,GJ 433 b,,,FALSE
130,10.23,GJ 436 b,2.3,26.85,FALSE
131,17.95,GJ 504 b,1430.2,29.51,FALSE
132,10.03,GJ 536 b,,27.2,FALSE
133,6.27,GJ 581 b,,,FALSE
134,6.27,GJ 581 c,,,FALSE
135,6.27,GJ 581 e,,,FALSE
136,6.49,GJ 625 b,,26.7,FALSE
137,10.32,GJ 649 b,,,FALSE
138,6.8,GJ 667 C b,,27.81,FALSE
139,6.8,GJ 667 C c,,27.81,FALSE
140,6.8,GJ 667 C e,,27.81,FALSE
141,6.8,GJ 667 C f,,27.81,FALSE
142,6.8,GJ 667 C g,,27.81,FALSE
143,4.54,GJ 674 b,,27.53,FALSE
144,16.9,GJ 676 A b,572.094,,FALSE
145,16.9,GJ 676 A c,,,FALSE
146,16.9,GJ 676 A d,,,FALSE
147,16.9,GJ 676 A e,,,FALSE
148,4.53,GJ 687 b,,26.9,FALSE
149,4.94,GJ 832 b,,26.77,FALSE
150,4.94,GJ 832 c,,26.77,FALSE
151,8.77,GJ 849 b,,,FALSE
152,10.91,GJ 86 b,,27.61,FALSE
153,4.7,GJ 876 b,1.4302,26.49,FALSE
154,4.7,GJ 876 c,1.2395,26.49,FALSE
155,4.7,GJ 876 d,0.4,26.49,FALSE
156,4.7,GJ 876 e,1.7,26.49,FALSE
157,139,GQ Lup b,,,FALSE
158,145,GSC 06214-00210 b,300,,FALSE
159,48,GU Psc b,540.3,,FALSE
160,139,HAT-P-1 b,6.03877,,FALSE
161,38,HAT-P-11 b,2.86,,FALSE
162,142.5,HAT-P-12 b,3.814,,FALSE
163,214,HAT-P-13 b,12.077,,FALSE
164,214,HAT-P-13 c,,,FALSE
165,205,HAT-P-14 b,18.751,,FALSE
166,190,HAT-P-15 b,20.976,,FALSE
167,235,HAT-P-16 b,29.875,,FALSE
168,90,HAT-P-17 b,5.72,,FALSE
169,90,HAT-P-17 c,,,FALSE
170,166,HAT-P-18 b,4.132,,FALSE
171,215,HAT-P-19 b,5.721,,FALSE
172,135.32,HAT-P-2 b,76.28,,FALSE
173,70,HAT-P-20 b,59.432,,FALSE
174,254,HAT-P-21 b,51.168,,FALSE
175,82,HAT-P-22 b,19.387,,FALSE
176,393,HAT-P-23 b,38,,FALSE
177,396,HAT-P-24 b,10.488,,FALSE
178,297,HAT-P-25 b,6.992,,FALSE
179,134,HAT-P-26 b,2.225,,FALSE
180,204,HAT-P-27 b,9.53,,FALSE
181,395,HAT-P-28 b,11.759,,FALSE
182,322,HAT-P-29 b,24.154,,FALSE
183,138,HAT-P-3 b,5.721,,FALSE
184,193,HAT-P-30 b,8.899,,FALSE
185,354,HAT-P-31 b,33.371,,FALSE
186,283,HAT-P-32 b,,,FALSE
187,387,HAT-P-33 b,32.099,,FALSE
188,257,HAT-P-34 b,67.059,,FALSE
189,535,HAT-P-35 b,10.488,,FALSE
190,317,HAT-P-36 b,31.464,,FALSE
191,411,HAT-P-37 b,32.735,,FALSE
192,249,HAT-P-38 b,6.356,,FALSE
193,642,HAT-P-39 b,31.464,,FALSE
194,314,HAT-P-4 b,10.488,,FALSE
195,501,HAT-P-40 b,12.077,,FALSE
196,344,HAT-P-41 b,32.417,,FALSE
197,447,HAT-P-42 b,26.379,,FALSE
198,542,HAT-P-43 b,19.069,,FALSE
199,363,HAT-P-44 b,9.217,,FALSE
200,363,HAT-P-44 c,,,FALSE
201,305,HAT-P-45 b,43.541,,FALSE
202,296,HAT-P-46 b,26.061,,FALSE
203,322,HAT-P-49 b,65.152,,FALSE
204,340,HAT-P-5 b,34.96,,FALSE
205,497,HAT-P-50 b,23.20159,,FALSE
206,470,HAT-P-51 b,5.72094,,FALSE
207,385,HAT-P-52 b,9.21707,,FALSE
208,719,HAT-P-53 b,17.79848,,FALSE
209,135.8,HAT-P-54 b,10.17056,,FALSE
210,480,HAT-P-55 b,17.79848,,FALSE
211,310.5,HAT-P-56 b,79.4575,,FALSE
212,303,HAT-P-57 b,,,FALSE
213,261,HAT-P-6 b,37.82,,FALSE
214,841,HAT-P-65 b,26.37989,,FALSE
215,927,HAT-P-66 b,18.11631,,FALSE
216,320,HAT-P-67 b,79.4575,,FALSE
217,320,HAT-P-7 b,6.67443,,FALSE
218,230,HAT-P-8 b,57.21,,FALSE
219,480,HAT-P-9 b,28.6,,FALSE
220,303,HATS-1 b,83.268,,FALSE
221,496,HATS-10 b,25.74423,,FALSE
222,906,HATS-11 b,38.1396,,FALSE
223,981,HATS-12 b,34.9613,,FALSE
224,476,HATS-13 b,22.88376,,FALSE
225,513,HATS-14 b,22.2481,,FALSE
226,689,HATS-15 b,47.6745,,FALSE
227,774,HATS-16 b,60.3877,,FALSE
228,339,HATS-17 b,20.65895,,FALSE
229,645,HATS-18 b,24.47291,,FALSE
230,360,HATS-2 b,47.672,,FALSE
231,207.9,HATS-22 b,34.9613,,FALSE
232,747,HATS-23 b,22.88376,,FALSE
233,510,HATS-24 b,57.2094,,FALSE
234,466,HATS-25 b,13.34886,,FALSE
235,907,HATS-26 b,24.15508,,FALSE
236,840,HATS-27 b,41.3179,,FALSE
237,521,HATS-28 b,27.65121,,FALSE
238,351,HATS-29 b,20.02329,,FALSE
239,453,HATS-3 b,43.223,,FALSE
240,339,HATS-30 b,12.39537,,FALSE
241,872,HATS-31 b,38.1396,,FALSE
242,839,HATS-32 b,31.783,,FALSE
243,255,HATS-33 b,16.84499,,FALSE
244,532,HATS-34 b,22.88376,,FALSE
245,557,HATS-35 b,24.79074,,FALSE
246,420,HATS-4 b,8.899,,FALSE
247,257,HATS-5 b,3.814,,FALSE
248,148.4,HATS-6 b,22.2481,,FALSE
249,829,HATS-8 b,6.03877,,FALSE
250,622,HATS-9 b,9.21707,,FALSE
251,97,HD 100546 b,,,FALSE
252,140.85,HD 100655 b,,,FALSE
253,52.8,HD 100777 b,,,FALSE
254,39.02,HD 10180 c,,,FALSE
255,39.02,HD 10180 d,,,FALSE
256,39.02,HD 10180 e,,,FALSE
257,39.02,HD 10180 f,,,FALSE
258,39.02,HD 10180 g,,,FALSE
259,39.02,HD 10180 h,,,FALSE
260,30.5,HD 101930 b,,,FALSE
261,42,HD 102117 b,,,FALSE
262,28.98,HD 102195 b,,,FALSE
263,164.2,HD 102272 b,,,FALSE
264,138.5,HD 102329 b,,,FALSE
265,9.24,HD 102365 b,,26.78,FALSE
266,121.07,HD 102956 b,,,FALSE
267,49.33,HD 103197 b,,,FALSE
268,41.6,HD 103720 b,,,FALSE
269,53.08,HD 103774 b,,,FALSE
270,20.82,HD 104067 b,,,FALSE
271,,HD 10442 b,,,FALSE
272,102.04,HD 104985 b,,,FALSE
273,37.4,HD 106252 b,,,FALSE
274,87.87,HD 106270 b,,,FALSE
275,109.7,HD 106315 b,,,FALSE
276,109.7,HD 106315 c,,,FALSE
277,17.35,HD 10647 b,,,FALSE
278,36.36,HD 106515 A b,,,FALSE
279,91.83,HD 106906 b,636,,FALSE
280,32.6,HD 10697 b,,28.54,FALSE
281,51.26,HD 107148 b,,,FALSE
282,38.56,HD 108147 b,,,FALSE
283,49.4,HD 108341 b,,,FALSE
284,138.5,HD 108863 b,,,FALSE
285,68.5,HD 108874 b,,,FALSE
286,68.5,HD 108874 c,,,FALSE
287,65.6,HD 109246 b,,,FALSE
288,56.92,HD 109271 b,,,FALSE
289,56.92,HD 109271 c,,,FALSE
290,59.03,HD 109749 b,,,FALSE
291,90,HD 110014 b,,,FALSE
292,28.88,HD 111232 b,,,FALSE
293,32.73,HD 111998 b,,29.03,FALSE
294,37.42,HD 113337 b,,29.21,FALSE
