# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,
# Fri Nov 10 23:49:02 2017,,,,
#,,,,
# COLUMN st_dist:        Distance [pc],,,,
# COLUMN pl_name:        Planet Name,,,,
# COLUMN pl_masseerr1:   Planet Mass Upper Unc. [Earth mass],,,,
# COLUMN st_actlx:       X-ray Activity log(L<sub>x</sub>),,,,
#,,,,
rowid,st_dist,pl_name,pl_masseerr1,st_actlx
1,110.62,11 Com b,,
2,119.47,11 UMi b,,
3,76.39,14 And b,,
4,18.15,14 Her b,,
5,21.41,16 Cyg B b,,
6,73.1,18 Del b,,
7,145,1RXS J160929.1-210524 b,300,
8,74.79,24 Sex b,,
9,74.79,24 Sex c,,
10,36,2MASS J01225093-2439505 b,794.5,
11,39.4,2MASS J02192210-3925225 b,349.613,
12,140,2MASS J04414489+2301513 b,794.5,
13,52.4,2MASS J12073346-3932539 b,318,
14,,2MASS J19383260+4603591 b,31.783,
15,25,2MASS J21402931+1625183 A b,26629.91,
16,74,2MASS J22362452+4751425 b,476.745,
17,39.43,30 Ari B b,,29.86
18,77.4,4 UMa b,,
19,97.28,42 Dra b,,
20,14.08,47 UMa b,,
21,14.08,47 UMa c,,
22,14.08,47 UMa d,,
23,29.4,51 Eri b,,30.12
24,15.36,51 Peg b,,
25,12.53,55 Cnc b,1.0488,27.74
26,12.53,55 Cnc c,1.748,27.74
27,12.53,55 Cnc d,21.612,27.74
28,12.53,55 Cnc e,0.31,27.74
29,12.53,55 Cnc f,3.814,27.74
30,56.95,6 Lyn b,,
31,8.52,61 Vir b,,26.87
32,8.52,61 Vir c,,26.87
33,8.52,61 Vir d,,26.87
34,19.84,7 CMa b,,
35,18.11,70 Vir b,,
36,81.5,75 Cet b,,
37,159.1,8 UMi b,,
38,97.18,81 Cet b,,
39,45.52,91 Aqr b,,
40,45.52,AB Pic b,158.9,
41,2618,BD+03 2562 b,,
42,50.03,BD+14 4559 b,,
43,774,BD+15 2375 b,,
44,175.44,BD+15 2940 b,,
45,25.4,BD+20 1790 b,,
46,,BD+20 2457 b,,
47,,BD+20 2457 c,,
48,,BD+20 274 b,,
49,152.1,BD+20 594 b,6,
50,,BD+48 738 b,,
51,,BD+49 828 b,,
52,20.1,BD-06 1339 b,,
53,20.1,BD-06 1339 c,,
54,42.09,BD-08 2823 b,,
55,42.09,BD-08 2823 c,,
56,80,BD-10 3166 b,,
57,27.3,BD-11 4672 b,,
58,766,BD-13 2130 b,,
59,37.54,BD-17 63 b,,
60,23.1,CFBDSIR J145829+101343 b,1430.2,
61,,CHXR 73 b,2662.991,
62,165,CT Cha b,1907,
63,,CoRoT-1 b,38.14,
64,345,CoRoT-10 b,50.85,
65,560,CoRoT-11 b,108.06,
66,1150,CoRoT-12 b,22.247,
67,1060,CoRoT-13 b,20.976,
68,1340,CoRoT-14 b,190.7,
69,840,CoRoT-16 b,27.014,
70,920,CoRoT-17 b,95.34,
71,870,CoRoT-18 b,120.77,
72,770,CoRoT-19 b,19.07,
73,200,CoRoT-2 b,69.92,
74,1230,CoRoT-20 b,73.1,
75,592,CoRoT-22 b,14,
76,600,CoRoT-23 b,95.3,
77,600,CoRoT-24 b,,
78,600,CoRoT-24 c,11,
79,1000,CoRoT-25 b,12.71,
80,1670,CoRoT-26 b,15.89,
81,,CoRoT-27 b,174.8,
82,560,CoRoT-28 b,27.65121,
83,765,CoRoT-29 b,63.566,
84,680,CoRoT-3 b,317.8,
85,,CoRoT-4 b,25.43,
86,,CoRoT-5 b,14.937,
87,,CoRoT-6 b,108.06,
88,153.7,CoRoT-7 b,0.86,
89,153.7,CoRoT-7 c,0.9,
90,380,CoRoT-8 b,9.53,
91,460,CoRoT-9 b,22.25,
92,,CoRoTID 223977153 b,31.783,
93,20.77,DENIS-P J082303.1-491201 b,603.85,
94,140,DH Tau b,3178,
95,,DP Leo b,,
96,181.5,EPIC 211822797 b,,
97,253,EPIC 220674823 b,,
98,253,EPIC 220674823 c,,
99,140,FU Tau b,,
